label_name,text,word_count,token_count
Business,US house sales fall in July Sales of non-new houses in the US fell last month but still exceeded analyst forecasts.,21,27
Business,"DJ to acquire MarketWatch Dow Jones & Co., publisher of the Wall Street Journal, says it has agreed to buy online news site MarketWatch Inc. in a $519 million deal that widens its Internet audience.",35,47
Business,"Dollar hits new low on Snow speech The United States supports a ""strong dollar, "" Treasury Secretary John Snow said, while suggesting the Bush administration will not act to boost its value. His comments sent the currency plunging to a record low against the euro.",45,52
Sci/Tech,Intuit Posts 1Q Loss; Revenue Up 11 Pct. (AP) AP - Intuit Inc. posted a narrower net loss for its latest quarter as increased revenue from its QuickBooks accounting software helped boost results.,33,46
Sci/Tech,"Q A: Red Hat exec talks of challenges to open-source He discusses the dearth of developers, scaling problems and his public blog war with Sun's Jonathan Schwartz.",27,38
Sci/Tech,"Women 'better at holding drink' Women are better at maintaining their self-control when they drink, researchers find.",17,25
Sports,Benitez pleased to have avoided Italian team in draw Rafael Benitez says he is happy Liverpool have avoided an Italian team after being drawn to play Bayer Leverkusen in the Champions League.,32,41
Sports,Gallacher Scores First European Tour Win Scotland's Stephen Gallacher holds the trophy in front of the clubhouse whilst sitting on the Swilcan burn bridge after winning the Dunhill Links golf championship at St.,33,45
Sports,"Source: Stanford Fires Coach Teevens (AP) AP - Stanford football coach Buddy Teevens was fired after three straight losing seasons, an athletic department source said Monday on condition of anonymity.",30,43
World,"AdWatch: Kerry Accuses Bush on Iraq Money (AP) AP - Details of new television ad from Democratic presidential candidate John Kerry, that began airing Wednesday.",25,34
World,"Proposed Program Would Remodel Foreign Aid (AP) AP - Secretary of State Colin Powell calls it the most promising development in foreign assistance in decades. That is quite a claim for a program that has yet to disburse its first dollar. But it is clear that President Bush's Millennium Challenge Account, first proposed 2 1/2 years ago, represents a fresh approach to helping countries overcome economic backwardness.",67,85
World,"Peace team urges Sadr to call off uprising: Militia positions pounded NAJAF, Aug 17: An Iraqi peace delegation urged Shia leader Moqtada Sadr on Tuesday to call off his uprising in Najaf, and on the battlefront US troops pounded militia positions near the country's holiest sites.",46,66
