text,label,true_label,predicted_label,confidence,confidence_margin,word_count,probability_world,probability_sports,probability_business,probability_sci_tech,confusion_pair,selection_note
"Linux: Paris weighs a shift to open-source camp PARIS The open-source computer system known as Linux won a tough battle over Microsoft earlier this year when the city of Munich decided to change the operating software of 14,000 government computers, despite the personal intervention of Steve Ballmer",2,Business,Sci/Tech,0.9930538535118103,0.9871454578824341,47,0.0008862960967235267,0.00015139963943511248,0.005908395629376173,0.9930538535118103,Business -> Sci/Tech,Representative confusion-pair sample with varied confidence
"AOL, E-Mail Companies Sue Spammers The nation's largest e-mail providers today filed a new round of lawsuits against Internet spammers allegedly responsible for shoveling millions of junk e-mail messages into computer users ' in-boxes and their instant messaging screens.",2,Business,Sci/Tech,0.9734083414077759,0.9486381020396948,39,0.0015601201448589563,0.00026136875385418534,0.024770239368081093,0.9734083414077759,Business -> Sci/Tech,Representative confusion-pair sample with varied confidence
Broadband charges set to tumble The cost of broadband internet access is likely to fall after Ofcom ordered British Telecom to cut the amount it charges internet providers.,2,Business,Sci/Tech,0.9206740260124207,0.8443816378712654,28,0.002821741858497262,0.00021179650502745062,0.07629238814115524,0.9206740260124207,Business -> Sci/Tech,Representative confusion-pair sample with varied confidence
IBM 'to sell PC business ' IBM is reportedly in talks to sell its personal computer business. It would mark the end of an era for the company that brought the computer into the mainstream when it began selling its desktop PC to corporations and consumers in 1981.,2,Business,Sci/Tech,0.7900815010070801,0.5825166255235672,48,0.0019352806266397238,0.00041841165511868894,0.20756487548351288,0.7900815010070801,Business -> Sci/Tech,Representative confusion-pair sample with varied confidence
"Diesels, Hybrids Fated to Wed Two leading technologies used in fuel-efficient vehicles seem destined to unite. Industry experts say joining hybrid motors with diesel engines would result in the greenest mainstream vehicles ever, and the initial tests are promising.",2,Business,Sci/Tech,0.6388459205627441,0.29510629177093506,39,0.016848096624016762,0.0005663384217768908,0.3437396287918091,0.6388459205627441,Business -> Sci/Tech,Representative confusion-pair sample with varied confidence
"Study raises stent doubts Heart patients aren't more likely to live long term after getting the artery-opening tubes called stents, according to a study released yesterday by researchers at Duke University.",2,Business,Sci/Tech,0.461180716753006,0.024574309587478638,31,0.0993288978934288,0.00288405385799706,0.43660640716552734,0.461180716753006,Business -> Sci/Tech,Representative confusion-pair sample with varied confidence
A wandering Congress trips over the US Constitution That is the one-word message of advice that citizens wanted to send to members of Congress at the end of last week. Both the House of Representatives and the Senate looked as if they are having trouble seizing,2,Business,World,0.44342201948165894,0.041649580001831055,46,0.44342201948165894,0.00738332886248827,0.4017724394798279,0.1474221646785736,Business -> World,Representative confusion-pair sample with varied confidence
"Gas prices up 5 cents after Hurricane Ivan CAMARILLO, Calif. - Gas prices jumped more than 5 cents a gallon in the past two weeks, largely because of supply problems related to Hurricane Ivan, an industry analyst said.",3,Sci/Tech,Business,0.9964219331741333,0.9942163340747356,38,0.0022055990993976593,0.00011245084897382185,0.9964219331741333,0.0012600355548784137,Sci/Tech -> Business,Representative confusion-pair sample with varied confidence
"An Unknown Giant Flexes Its Muscles Although virtually unknown in the U.S., Lenovo - in talks to buy I.B.M.'s personal computer business - is China's largest PC maker and the world's fastest growing one.",3,Sci/Tech,Business,0.8976452350616455,0.7993357256054878,34,0.003633111249655485,0.0004121539241168648,0.8976452350616455,0.09830950945615768,Sci/Tech -> Business,Representative confusion-pair sample with varied confidence
"Salesforce.com 2Q Profit Up Sharply Software developer Salesforce.com Inc. posted a sharp rise in second-quarter profit on better-than-expected revenue during its first quarter as a public company, but investors shunned the stock in late trading",3,Sci/Tech,Business,0.7607948184013367,0.5236630290746689,35,0.001501603750512004,0.0005717683816328645,0.7607948184013367,0.23713178932666779,Sci/Tech -> Business,Representative confusion-pair sample with varied confidence
